temp_agua,temp_ambiente,umidade,ph,ec,classe
18.2,26.4,93.0,6.38,2.83,-1
28.9,27.3,82.1,4.07,0.77,-1
29.3,33.9,49.0,6.12,2.02,-1
29.9,30.1,59.8,5.5,1.56,-1
26.4,35.3,62.2,4.99,1.09,-1
27.9,34.3,41.3,4.27,1.99,-1
18.3,34.5,53.6,4.58,2.8,-1
18.6,23.7,44.2,4.46,0.55,-1
16.9,21.5,38.2,6.36,2.2,-1
22.3,24.4,65.3,7.5,2.63,0
16.7,21.6,49.2,5.0,1.93,-1
22.7,19.0,57.4,6.1,0.75,-1
29.3,19.0,90.5,4.4,2.61,-1
30.4,37.6,83.1,7.12,2.11,-1
28.5,20.7,67.2,6.06,2.64,-1
23.4,25.7,73.4,5.07,0.85,0
23.6,26.3,49.0,5.47,1.42,0
21.2,25.6,76.1,5.19,2.87,0
30.7,27.6,54.7,6.14,2.62,-1
26.4,34.1,67.0,6.53,1.22,-1
27.8,22.0,76.7,7.44,0.83,-1
25.8,19.9,78.5,4.34,2.84,-1
18.2,37.2,83.1,6.37,2.46,-1
28.7,36.9,50.2,6.36,0.74,-1
25.9,21.4,68.9,6.29,1.66,0
24.4,33.3,83.0,5.97,2.0,-1
30.9,20.4,42.0,4.35,2.14,-1
22.7,33.5,75.3,5.33,2.75,-1
28.2,23.4,56.9,5.26,0.89,-1
18.4,36.7,61.3,5.53,2.32,-1
24.8,36.7,81.8,5.92,1.44,-1
31.8,32.4,92.1,4.47,2.63,-1
26.2,20.4,70.3,6.74,0.53,-1
23.3,34.5,52.7,5.83,1.61,0
20.8,36.4,81.9,4.44,2.99,-1
30.1,23.7,85.2,4.43,3.0,-1
26.7,31.0,40.4,7.59,0.57,-1
19.9,20.9,81.6,4.79,2.78,-1
26.5,18.7,35.3,4.21,2.01,-1
28.8,22.8,86.0,4.23,2.5,-1
30.8,33.4,76.9,7.35,0.6,-1
19.2,20.5,65.3,6.98,2.08,-1
29.6,21.1,79.1,4.77,1.18,-1
27.4,37.6,71.7,4.22,2.04,-1
16.7,35.7,77.6,4.69,0.73,-1
18.9,37.6,62.5,7.14,2.09,-1
25.2,20.9,91.8,5.21,1.95,-1
27.2,31.0,91.4,4.59,1.77,-1
22.5,27.5,42.2,4.54,1.2,0
20.9,26.6,71.7,6.54,1.53,1
22.5,22.4,70.3,5.27,0.59,0
22.7,27.5,48.5,6.29,1.91,1
27.2,31.0,74.1,5.26,2.47,-1
24.8,26.6,72.6,5.44,1.78,0
27.8,35.7,90.3,6.01,1.8,-1
28.8,24.3,85.2,5.98,0.79,-1
17.2,34.8,38.3,5.12,1.34,-1
18.8,24.3,79.6,4.06,2.57,-1
29.7,25.4,44.2,6.4,0.8,-1
21.8,37.2,94.7,7.09,1.28,-1
27.0,32.1,58.3,6.56,0.53,-1
19.3,28.5,44.8,4.66,2.59,-1
31.8,29.1,85.3,7.96,0.85,-1
23.2,25.9,39.8,7.02,1.58,0
23.5,21.0,45.9,7.63,0.61,-1
19.7,23.8,64.4,6.35,1.73,1
17.3,22.9,85.6,6.55,2.12,-1
26.7,33.3,38.5,5.47,1.85,-1
21.4,34.9,64.0,7.07,2.63,-1
24.1,36.2,70.2,7.4,1.35,-1
24.0,28.6,41.3,5.59,2.79,-1
26.1,21.6,55.3,4.77,0.56,-1
30.8,27.0,53.5,6.39,0.52,-1
20.4,32.1,73.0,7.93,2.05,-1
23.6,33.2,89.2,6.88,2.91,-1
28.5,35.3,41.8,6.93,1.6,-1
24.8,31.1,93.2,7.94,1.22,-1
27.7,33.0,55.8,4.5,0.6,-1
28.4,27.8,94.1,5.86,2.94,-1
22.6,33.9,40.1,6.22,2.51,-1
30.8,34.5,37.2,5.49,0.62,-1
17.7,31.5,77.8,7.09,2.66,-1
27.8,34.0,37.9,4.94,2.05,-1
29.7,18.1,65.9,6.71,0.57,-1
22.4,35.9,75.3,4.95,2.63,-1
21.6,35.1,52.9,6.36,1.49,0
20.4,35.7,46.3,4.34,1.35,-1
27.5,34.1,94.9,5.19,1.52,-1
18.2,29.5,94.9,6.8,1.99,-1
22.3,36.3,64.8,4.54,1.41,0
17.1,22.0,36.1,5.81,2.09,-1
21.5,26.4,92.6,7.01,1.85,0
20.6,35.9,49.1,5.3,2.77,-1
24.5,32.8,70.4,6.61,1.25,-1
19.9,24.4,44.3,7.5,1.21,-1
25.0,33.8,82.0,5.75,1.69,-1
31.9,31.5,83.9,7.61,2.47,-1
19.0,29.2,41.1,6.61,2.89,-1
24.2,26.7,37.2,7.84,0.76,-1
16.7,22.9,38.9,5.82,1.79,0
21.0,19.0,41.7,5.54,0.65,-1
27.2,22.1,53.1,5.58,1.54,0
16.0,20.2,86.8,4.0,1.77,-1
23.8,24.7,60.9,7.12,2.6,0
20.2,24.4,49.5,5.92,2.21,0
19.7,24.6,90.8,4.19,1.65,-1
27.4,21.0,37.8,4.55,2.8,-1
16.1,21.8,36.9,4.44,2.05,-1
19.9,29.4,70.4,7.4,0.51,-1
29.7,30.4,44.8,7.09,2.64,-1
20.1,36.4,62.3,6.41,2.96,0
21.8,34.3,54.1,7.2,2.0,-1
19.5,26.3,54.1,4.31,0.57,-1
21.5,18.4,44.9,6.9,2.27,-1
27.8,24.3,88.4,6.38,0.82,-1
18.3,31.9,45.4,6.03,2.98,-1
16.1,18.3,94.6,6.34,0.82,-1
30.4,35.6,67.2,6.49,1.18,-1
16.8,29.9,52.7,6.65,2.59,-1
16.3,29.9,48.9,7.5,1.13,-1
25.8,29.1,58.8,6.71,2.31,-1
25.1,33.2,94.0,5.68,1.79,-1
16.2,33.9,66.2,5.63,0.74,-1
30.2,25.9,76.0,4.6,2.9,-1
18.9,22.0,86.5,7.65,1.03,-1
23.5,32.7,87.7,5.52,1.79,0
27.9,32.6,82.0,6.28,0.76,-1
30.5,35.3,82.9,4.4,1.01,-1
27.9,18.5,93.8,5.51,2.3,-1
30.2,25.9,54.1,6.43,1.95,0
22.5,30.0,91.1,5.87,0.99,-1
22.0,25.9,42.9,4.65,2.21,-1
21.4,37.1,49.6,4.4,2.38,-1
30.1,23.6,47.1,4.74,1.81,-1
23.5,23.2,37.7,5.93,2.9,0
26.4,27.9,41.6,5.01,1.24,-1
28.2,35.5,89.1,7.94,2.96,-1
31.2,19.4,43.3,5.22,1.88,-1
17.6,34.9,72.0,6.17,0.91,-1
20.1,21.2,86.1,6.34,2.34,-1
20.7,25.4,59.3,7.04,2.43,-1
19.3,36.8,42.2,7.58,0.75,-1
20.2,34.9,45.8,5.65,1.62,0
19.9,32.2,86.1,7.5,1.35,-1
24.5,23.0,49.7,4.65,2.85,-1
30.2,33.5,66.1,5.96,1.82,0
24.6,26.7,42.9,4.5,2.88,-1
23.7,37.1,44.8,6.22,1.02,-1
20.1,18.6,42.1,7.67,1.3,-1
25.7,27.3,59.0,6.13,0.97,-1
31.8,34.4,79.5,5.88,0.88,-1
30.7,24.8,38.0,5.37,2.49,-1
26.0,33.0,82.6,4.85,2.81,-1
23.0,30.8,35.1,7.97,1.2,-1
